date,value
2020-4-8,4
2020-4-7,4
2020-4-5,4
2020-4-5,4
2020-4-5,5
2020-4-4,4
2020-4-4,4
2020-4-4,5
2020-4-3,4
2020-3-31,4
2020-3-30,5
2020-3-29,4
2020-3-28,4
2020-3-23,4
2020-3-22,4
2020-3-20,4
2020-3-20,4
2020-3-18,5
2020-3-17,7
2020-3-15,7
2020-3-15,7
2020-3-14,4
2020-3-14,4
2020-3-13,4
2020-3-13,5
2020-3-10,4
2020-3-8,6
2020-3-8,4
2020-3-8,4
2020-3-7,19
2020-3-7,4
2020-3-7,7
2020-3-6,6
2020-3-4,6
2020-2-29,5
2020-2-29,5
2020-2-26,6
2020-2-25,5
2020-2-23,4
2020-2-23,7
2020-2-20,5
2020-2-20,4
2020-2-17,4
2020-2-16,6
2020-2-16,5
2020-2-15,4
2020-2-15,7
2020-2-14,6
2020-2-10,5
2020-2-8,4
2020-2-5,4
2020-2-3,4
2020-2-3,6
2020-2-1,4
2020-1-31,5
2020-1-31,4
2020-1-31,4
2020-1-30,4
2020-1-27,4
2020-1-26,5
2020-1-26,4
2020-1-26,6
2020-1-26,6
2020-1-24,5
2020-1-22,8
2020-1-19,17
2020-1-19,5
2020-1-19,7
2020-1-18,4
2020-1-17,5
2020-1-16,5
2020-1-11,5
2020-1-8,4
2020-1-5,4
2020-1-4,4
2020-1-2,4
2020-1-1,4
2020-1-1,7
2020-1-1,5
2019-12-29,5
2019-12-29,4
2019-12-29,5
2019-12-27,4
2019-12-27,4
2019-12-27,9
2019-12-26,5
2019-12-25,4
2019-12-25,4
2019-12-25,4
2019-12-24,4
2019-12-24,5
2019-12-24,6
2019-12-22,7
2019-12-22,8
2019-12-22,13
2019-12-21,4
2019-12-20,7
2019-12-20,4
2019-12-18,4
2019-12-17,5
2019-12-15,5
2019-12-14,4
2019-12-12,4
2019-12-10,9
2019-12-8,5
2019-12-8,5
2019-12-6,12
2019-12-4,4
2019-12-1,5
2019-12-1,4
2019-12-1,5
2019-12-1,4
2019-12-1,12
2019-11-30,5
2019-11-29,7
2019-11-27,5
2019-11-25,4
2019-11-24,5
2019-11-24,6
2019-11-24,4
2019-11-23,4
2019-11-23,7
2019-11-21,5
2019-11-21,4
2019-11-20,4
2019-11-18,5
2019-11-17,10
2019-11-17,4
2019-11-16,6
2019-11-14,6
2019-11-11,4
2019-11-10,4
2019-11-10,5
2019-11-10,4
2019-11-9,4
2019-11-9,4
2019-11-8,4
2019-11-7,5
2019-11-4,5
2019-11-3,4
2019-11-3,4
2019-11-2,4
2019-11-2,5
2019-11-1,5
2019-11-1,4
2019-10-31,8
2019-10-30,4
2019-10-29,4
2019-10-29,12
2019-10-28,4
2019-10-27,4
2019-10-27,5
2019-10-26,8
2019-10-24,4
2019-10-22,4
2019-10-21,4
2019-10-20,4
2019-10-19,4
2019-10-19,5
2019-10-15,4
2019-10-13,6
2019-10-13,4
2019-10-12,7
2019-10-12,5
2019-10-12,4
2019-10-12,4
2019-10-12,6
2019-10-10,4
2019-10-10,5
2019-10-9,5
2019-10-9,4
2019-10-7,5
2019-10-6,5
2019-10-6,4
2019-10-6,9
2019-10-5,5
2019-10-3,4
2019-10-3,4
2019-10-1,4
2019-9-29,4
2019-9-29,4
2019-9-29,4
